No._Base	ToneName_freemidi	MSB	LSB	PC_0Origin	Category	Bank	PC	No.	ToneName	remove_left1	head_suff
1	Piano 1	0	3	0	Piano	SC-88Pro	1	001	Piano 1	iano 1	
001+	Piano 1w	8	3	0	Piano	SC-88Pro	1	001+	Piano 1w	iano 1w	
001+	European Pf	16	3	0	Piano	SC-88Pro	1	001+	European Pf	uropean Pf	
001+	Piano + Str.	24	3	0	Piano	SC-88Pro	1	001+	Piano + Str.	iano + Str.	
2	Piano 2	0	3	1	Piano	SC-88Pro	2	002	Piano 2	iano 2	
002+	Piano 2w	8	3	1	Piano	SC-88Pro	2	002+	Piano 2w	iano 2w	
002+	Dance Piano	16	3	1	Piano	SC-88Pro	2	002+	Dance Piano	ance Piano	
3	Piano 3	0	3	2	Piano	SC-88Pro	3	003	Piano 3	iano 3	
003+	EG+Rhodes 1	1	3	2	Piano	SC-88Pro	3	003+	EG+Rhodes 1	G+Rhodes 1	
003+	EG+Rhodes 2	2	3	2	Piano	SC-88Pro	3	003+	EG+Rhodes 2	G+Rhodes 2	
003+	Piano 3w	8	3	2	Piano	SC-88Pro	3	003+	Piano 3w	iano 3w	
4	Honky-tonk	0	3	3	Piano	SC-88Pro	4	004	Honky-tonk	onky-tonk	
004+	Honky-tonk 2	8	3	3	Piano	SC-88Pro	4	004+	Honky-tonk 2	onky-tonk 2	
5	E.Piano 1	0	3	4	Piano	SC-88Pro	5	005	E.Piano 1	.Piano 1	
005+	St.Soft EP	8	3	4	Piano	SC-88Pro	5	005+	St.Soft EP	t.Soft EP	
005+	Cho. E.Piano	9	3	4	Piano	SC-88Pro	5	005+	Cho. E.Piano	ho. E.Piano	
005+	SilentRhodes	10	3	4	Piano	SC-88Pro	5	005+	SilentRhodes	ilentRhodes	
005+	FM+SA EP	16	3	4	Piano	SC-88Pro	5	005+	FM+SA EP	M+SA EP	
005+	Dist E.Piano	17	3	4	Piano	SC-88Pro	5	005+	Dist E.Piano	ist E.Piano	
005+	Wurly	24	3	4	Piano	SC-88Pro	5	005+	Wurly	urly	
005+	Hard Rhodes	25	3	4	Piano	SC-88Pro	5	005+	Hard Rhodes	ard Rhodes	
005+	MellowRhodes	26	3	4	Piano	SC-88Pro	5	005+	MellowRhodes	ellowRhodes	
6	E.Piano 2	0	3	5	Piano	SC-88Pro	6	006	E.Piano 2	.Piano 2	
006+	Detuned EP 2	8	3	5	Piano	SC-88Pro	6	006+	Detuned EP 2	etuned EP 2	
006+	St.FM EP	16	3	5	Piano	SC-88Pro	6	006+	St.FM EP	t.FM EP	
006+	Hard FM EP	24	3	5	Piano	SC-88Pro	6	006+	Hard FM EP	ard FM EP	
7	Harpsichord	0	3	6	Piano	SC-88Pro	7	007	Harpsichord	arpsichord	
7	Harpsichord2	1	3	6	Piano	SC-88Pro	7	007	Harpsichord2	arpsichord2	
007+	Coupled Hps.	8	3	6	Piano	SC-88Pro	7	007+	Coupled Hps.	oupled Hps.	
007+	Harpsi.w	16	3	6	Piano	SC-88Pro	7	007+	Harpsi.w	arpsi.w	
007+	Harpsi.o	24	3	6	Piano	SC-88Pro	7	007+	Harpsi.o	arpsi.o	
007+	Synth Harpsi	32	3	6	Piano	SC-88Pro	7	007+	Synth Harpsi	ynth Harpsi	
8	Clav.	0	3	7	Piano	SC-88Pro	8	008	Clav.	lav.	
8	Comp Clav.	8	3	7	Piano	SC-88Pro	8	008	Comp Clav.	omp Clav.	
8	Reso Clav.	16	3	7	Piano	SC-88Pro	8	008	Reso Clav.	eso Clav.	
8	Clav.o	24	3	7	Piano	SC-88Pro	8	008	Clav.o	lav.o	
8	Analog Clav.	32	3	7	Piano	SC-88Pro	8	008	Analog Clav.	nalog Clav.	
8	JP8 Clav. 1	33	3	7	Piano	SC-88Pro	8	008	JP8 Clav. 1	P8 Clav. 1	
8	JP8 Clav. 2	35	3	7	Piano	SC-88Pro	8	008	JP8 Clav. 2	P8 Clav. 2	
1	$Piano 1	0	2	0	Piano	SC-88	1	001	'Piano 1	Piano 1	'
001+	$Piano 1w	8	2	0	Piano	SC-88	1	001+	'Piano 1w	Piano 1w	'
001+	$Piano 1d	16	2	0	Piano	SC-88	1	001+	'Piano 1d	Piano 1d	'
2	$Piano 2	0	2	1	Piano	SC-88	2	002	'Piano 2	Piano 2	'
002+	$Piano 2w	8	2	1	Piano	SC-88	2	002+	'Piano 2w	Piano 2w	'
3	$Piano 3	0	2	2	Piano	SC-88	3	003	'Piano 3	Piano 3	'
003+	$EG+Rhodes 1	1	2	2	Piano	SC-88	3	003+	'EG+Rhodes 1	EG+Rhodes 1	'
003+	$EG+Rhodes 2	2	2	2	Piano	SC-88	3	003+	'EG+Rhodes 2	EG+Rhodes 2	'
003+	$Piano 3w	8	2	2	Piano	SC-88	3	003+	'Piano 3w	Piano 3w	'
4	$Honky-tonk	0	2	3	Piano	SC-88	4	004	'Honky-tonk	Honky-tonk	'
004+	$Old Upright	8	2	3	Piano	SC-88	4	004+	'Old Upright	Old Upright	'
5	$E.Piano 1	0	2	4	Piano	SC-88	5	005	'E.Piano 1	E.Piano 1	'
005+	$St.Soft EP	8	2	4	Piano	SC-88	5	005+	'St.Soft EP	St.Soft EP	'
005+	$FM+SA EP	16	2	4	Piano	SC-88	5	005+	'FM+SA EP	FM+SA EP	'
005+	$60'sE.Piano	24	2	4	Piano	SC-88	5	005+	'60'sE.Piano	60'sE.Piano	'
005+	$Hard Rhodes	25	2	4	Piano	SC-88	5	005+	'Hard Rhodes	Hard Rhodes	'
005+	$MellwRhodes	26	2	4	Piano	SC-88	5	005+	'MellwRhodes	MellwRhodes	'
6	$E.Piano 2	0	2	5	Piano	SC-88	6	006	'E.Piano 2	E.Piano 2	'
006+	$Detuned EP2	8	2	5	Piano	SC-88	6	006+	'Detuned EP2	Detuned EP2	'
